impl,dtype,cache,M,K,N,threads,batch_count,KiB,reps,perf,pct_of_baseline,pct_of_baseline_xthreads
sve,bf16,H2,16,512,128,1,1,152.0,10,187.11,56.70,56.70
sve,i8,L1,16,512,128,1,1,80.0,10,267.50,40.53,40.53
neon,bf16,H2,16,512,128,1,1,152.0,10,161.55,48.95,48.95
neon,i8,L1,16,512,128,1,1,80.0,10,356.59,54.03,54.03
sve,bf16,H2,16,512,128,2,1,152.0,10,180.16,54.59,27.30
sve,i8,L1,16,512,128,2,1,80.0,10,451.05,68.34,34.17
neon,bf16,H2,16,512,128,2,1,152.0,10,285.18,86.42,43.21
neon,i8,L1,16,512,128,2,1,80.0,10,523.14,79.26,39.63
sve,bf16,H2,16,512,128,4,1,152.0,10,344.67,104.45,26.11
sve,i8,L1,16,512,128,4,1,80.0,10,446.71,67.68,16.92
neon,bf16,H2,16,512,128,4,1,152.0,10,472.59,143.21,35.80
neon,i8,L1,16,512,128,4,1,80.0,10,789.88,119.68,29.92
sve,bf16,H2,16,512,128,8,1,152.0,10,358.07,108.50,13.56
sve,i8,L1,16,512,128,8,1,80.0,10,453.15,68.66,8.58
neon,bf16,H2,16,512,128,8,1,152.0,10,463.18,140.36,17.54
neon,i8,L1,16,512,128,8,1,80.0,10,781.77,118.45,14.81
sve,bf16,GT_L2,16,512,4096,2,1,4368.0,10,412.68,125.05,62.53
sve,i8,GT_L2,16,512,4096,2,1,2312.0,10,478.77,72.54,36.27
neon,bf16,GT_L2,16,512,4096,2,1,4368.0,10,302.02,91.52,45.76
neon,i8,GT_L2,16,512,4096,2,1,2312.0,10,606.89,91.95,45.98
sve,bf16,GT_L2,16,512,4096,4,1,4368.0,10,734.21,222.49,55.62
sve,i8,GT_L2,16,512,4096,4,1,2312.0,10,862.35,130.66,32.66
neon,bf16,GT_L2,16,512,4096,4,1,4368.0,10,581.18,176.12,44.03
neon,i8,GT_L2,16,512,4096,4,1,2312.0,10,1158.93,175.60,43.90
sve,bf16,GT_L2,16,512,4096,8,1,4368.0,10,1312.33,397.68,49.71
sve,i8,GT_L2,16,512,4096,8,1,2312.0,10,1573.04,238.34,29.79
neon,bf16,GT_L2,16,512,4096,8,1,4368.0,10,1116.22,338.25,42.28
neon,i8,GT_L2,16,512,4096,8,1,2312.0,10,2115.26,320.49,40.06
sve,bf16,L2,64,512,512,1,1,704.0,10,243.15,73.68,73.68
sve,i8,H2,64,512,512,1,1,416.0,10,266.23,40.34,40.34
neon,bf16,L2,64,512,512,1,1,704.0,10,173.10,52.45,52.45
neon,i8,H2,64,512,512,1,1,416.0,10,404.23,61.25,61.25
sve,bf16,L2,64,512,512,2,1,704.0,10,404.38,122.54,61.27
sve,i8,H2,64,512,512,2,1,416.0,10,461.31,69.89,34.95
neon,bf16,L2,64,512,512,2,1,704.0,10,341.16,103.38,51.69
neon,i8,H2,64,512,512,2,1,416.0,10,708.77,107.39,53.69
sve,bf16,L2,64,512,512,4,1,704.0,10,692.34,209.80,52.45
sve,i8,H2,64,512,512,4,1,416.0,10,858.33,130.05,32.51
neon,bf16,L2,64,512,512,4,1,704.0,10,598.50,181.36,45.34
neon,i8,H2,64,512,512,4,1,416.0,10,1203.09,182.29,45.57
sve,bf16,L2,64,512,512,8,1,704.0,10,1119.48,339.24,42.40
sve,i8,H2,64,512,512,8,1,416.0,10,1488.94,225.60,28.20
neon,bf16,L2,64,512,512,8,1,704.0,10,1033.65,313.23,39.15
neon,i8,H2,64,512,512,8,1,416.0,10,2206.08,334.25,41.78
sve,bf16,GT_L2,64,512,4096,2,1,5184.0,10,433.22,131.28,65.64
sve,i8,GT_L2,64,512,4096,2,1,3104.0,10,493.54,74.78,37.39
neon,bf16,GT_L2,64,512,4096,2,1,5184.0,10,303.91,92.09,46.05
neon,i8,GT_L2,64,512,4096,2,1,3104.0,10,602.60,91.30,45.65
sve,bf16,GT_L2,64,512,4096,4,1,5184.0,10,772.88,234.21,58.55
sve,i8,GT_L2,64,512,4096,4,1,3104.0,10,899.23,136.25,34.06
neon,bf16,GT_L2,64,512,4096,4,1,5184.0,10,587.02,177.89,44.47
neon,i8,GT_L2,64,512,4096,4,1,3104.0,10,1153.08,174.71,43.68
sve,bf16,GT_L2,64,512,4096,8,1,5184.0,10,1431.98,433.93,54.24
sve,i8,GT_L2,64,512,4096,8,1,3104.0,10,1676.90,254.08,31.76
neon,bf16,GT_L2,64,512,4096,8,1,5184.0,10,1131.51,342.88,42.86
neon,i8,GT_L2,64,512,4096,8,1,3104.0,10,2172.01,329.09,41.14
sve,bf16,L2,64,4096,64,1,1,1040.0,10,151.57,45.93,45.93
sve,i8,H2,64,4096,64,1,1,528.0,10,348.40,52.79,52.79
neon,bf16,L2,64,4096,64,1,1,1040.0,10,155.57,47.14,47.14
neon,i8,H2,64,4096,64,1,1,528.0,10,369.57,56.00,56.00
sve,bf16,L2,64,4096,64,2,1,1040.0,10,231.56,70.17,35.09
sve,i8,H2,64,4096,64,2,1,528.0,10,557.77,84.51,42.26
neon,bf16,L2,64,4096,64,2,1,1040.0,10,297.27,90.08,45.04
neon,i8,H2,64,4096,64,2,1,528.0,10,616.34,93.39,46.69
sve,bf16,L2,64,4096,64,4,1,1040.0,10,309.00,93.64,23.41
sve,i8,H2,64,4096,64,4,1,528.0,10,1013.09,153.50,38.37
neon,bf16,L2,64,4096,64,4,1,1040.0,10,523.09,158.51,39.63
neon,i8,H2,64,4096,64,4,1,528.0,10,1086.63,164.64,41.16
sve,bf16,L2,64,4096,64,8,1,1040.0,10,490.45,148.62,18.58
sve,i8,H2,64,4096,64,8,1,528.0,10,1856.50,281.29,35.16
neon,bf16,L2,64,4096,64,8,1,1040.0,10,971.05,294.26,36.78
neon,i8,H2,64,4096,64,8,1,528.0,10,2070.62,313.73,39.22
sve,bf16,GT_L2,64,4096,1024,4,1,8960.0,10,750.24,227.35,56.84
sve,i8,GT_L2,64,4096,1024,4,1,4608.0,10,1015.98,153.94,38.48
neon,bf16,GT_L2,64,4096,1024,4,1,8960.0,10,542.95,164.53,41.13
neon,i8,GT_L2,64,4096,1024,4,1,4608.0,10,1145.17,173.51,43.38
sve,bf16,GT_L2,64,4096,1024,8,1,8960.0,10,1356.79,411.15,51.39
sve,i8,GT_L2,64,4096,1024,8,1,4608.0,10,1907.97,289.09,36.14
neon,bf16,GT_L2,64,4096,1024,8,1,8960.0,10,981.68,297.48,37.18
neon,i8,GT_L2,64,4096,1024,8,1,4608.0,10,2129.26,322.62,40.33
sve,bf16,GT_L2,128,4096,1024,4,1,9728.0,10,752.63,228.07,57.02
sve,i8,GT_L2,128,4096,1024,4,1,5120.0,10,1024.70,155.26,38.81
neon,bf16,GT_L2,128,4096,1024,4,1,9728.0,10,545.02,165.16,41.29
neon,i8,GT_L2,128,4096,1024,4,1,5120.0,10,1145.06,173.49,43.37
sve,bf16,GT_L2,128,4096,1024,8,1,9728.0,10,1348.55,408.65,51.08
sve,i8,GT_L2,128,4096,1024,8,1,5120.0,10,1914.25,290.04,36.25
neon,bf16,GT_L2,128,4096,1024,8,1,9728.0,10,987.26,299.17,37.40
neon,i8,GT_L2,128,4096,1024,8,1,5120.0,10,2136.89,323.77,40.47
sve,bf16,GT_L2,512,512,4096,4,1,12800.0,10,781.14,236.71,59.18
sve,i8,GT_L2,512,512,4096,4,1,10496.0,10,870.12,131.84,32.96
neon,bf16,GT_L2,512,512,4096,4,1,12800.0,10,592.41,179.52,44.88
neon,i8,GT_L2,512,512,4096,4,1,10496.0,10,1179.27,178.68,44.67
sve,bf16,GT_L2,512,512,4096,8,1,12800.0,10,1469.92,445.43,55.68
sve,i8,GT_L2,512,512,4096,8,1,10496.0,10,1654.99,250.76,31.34
neon,bf16,GT_L2,512,512,4096,8,1,12800.0,10,1121.41,339.82,42.48
neon,i8,GT_L2,512,512,4096,8,1,10496.0,10,2219.26,336.25,42.03
sve,bf16,GT_L2,512,4096,1024,4,1,14336.0,10,766.15,232.17,58.04
sve,i8,GT_L2,512,4096,1024,4,1,8192.0,10,1000.92,151.66,37.91
neon,bf16,GT_L2,512,4096,1024,4,1,14336.0,10,545.87,165.41,41.35
neon,i8,GT_L2,512,4096,1024,4,1,8192.0,10,1143.78,173.30,43.32
sve,bf16,GT_L2,512,4096,1024,8,1,14336.0,10,1386.98,420.30,52.54
sve,i8,GT_L2,512,4096,1024,8,1,8192.0,10,1867.50,282.95,35.37
neon,bf16,GT_L2,512,4096,1024,8,1,14336.0,10,503.79,152.66,19.08
neon,i8,GT_L2,512,4096,1024,8,1,8192.0,10,2135.36,323.54,40.44
sve,bf16,GT_L2,2048,4096,64,8,1,17408.0,10,991.59,300.48,37.56
sve,i8,GT_L2,2048,4096,64,8,1,8960.0,10,1907.69,289.04,36.13
neon,bf16,GT_L2,2048,4096,64,8,1,17408.0,10,950.21,287.94,35.99
neon,i8,GT_L2,2048,4096,64,8,1,8960.0,10,2122.77,321.63,40.20
