M,K,N,threads,sve,acl,ratio
16,128,128,1,311.6,381.1,0.818
16,128,128,2,283.5,234.7,1.208
16,128,128,4,277.9,244.5,1.137
16,128,128,8,282.4,247.5,1.141
32,256,256,1,387.0,449.9,0.860
32,256,256,2,571.5,671.2,0.851
32,256,256,4,877.9,1074.8,0.817
32,256,256,8,866.4,1194.1,0.726
64,256,256,1,427.1,470.0,0.909
64,256,256,2,633.6,728.6,0.870
64,256,256,4,1082.5,1131.9,0.956
64,256,256,8,1515.5,1708.9,0.887
64,512,512,1,521.1,509.4,1.023
64,512,512,2,810.9,836.3,0.970
64,512,512,4,1299.9,1368.4,0.950
64,512,512,8,2007.4,2372.8,0.846
96,512,512,1,527.7,511.4,1.032
96,512,512,2,859.7,849.2,1.012
96,512,512,4,1438.9,1459.8,0.986
96,512,512,8,2396.6,2106.5,1.138
128,128,128,1,339.1,451.3,0.751
128,128,128,2,581.1,545.4,1.066
128,128,128,4,934.8,827.0,1.130
128,128,128,8,1321.4,998.6,1.323
128,256,256,1,447.9,477.4,0.938
128,256,256,2,714.1,772.3,0.925
128,256,256,4,1168.8,1314.0,0.890
128,256,256,8,1861.2,2059.1,0.904
128,512,512,1,511.1,510.9,1.000
128,512,512,2,835.3,847.8,0.985
128,512,512,4,1424.7,1467.4,0.971
128,512,512,8,2327.6,2480.3,0.938
160,512,512,1,513.6,504.2,1.019
160,512,512,2,831.3,840.8,0.989
160,512,512,4,1453.1,1482.6,0.980
160,512,512,8,2420.8,2209.0,1.096
192,512,512,1,524.0,509.9,1.028
192,512,512,2,854.8,840.0,1.018
192,512,512,4,1490.5,1504.0,0.991
192,512,512,8,2569.1,2569.4,1.000
224,512,512,1,516.8,506.0,1.021
224,512,512,2,850.4,843.2,1.009
224,512,512,4,1480.5,1502.3,0.985
224,512,512,8,2466.6,2339.4,1.054
256,256,256,1,456.0,477.7,0.955
256,256,256,2,739.3,793.7,0.932
256,256,256,4,1219.5,1404.0,0.869
256,256,256,8,2056.3,2336.7,0.880
256,512,512,1,518.1,507.6,1.021
256,512,512,2,854.7,840.9,1.016
256,512,512,4,1494.0,1504.8,0.993
256,512,512,8,2474.7,2623.0,0.943
256,1024,1024,1,558.1,507.7,1.099
256,1024,1024,2,918.5,841.1,1.092
256,1024,1024,4,1642.6,1486.6,1.105
256,1024,1024,8,2716.8,2705.1,1.004
384,512,512,1,525.4,503.5,1.043
384,512,512,2,876.5,844.8,1.038
384,512,512,4,1530.3,1507.2,1.015
384,512,512,8,2630.7,2722.4,0.966
512,512,512,1,526.2,501.0,1.050
512,512,512,2,869.5,848.4,1.025
512,512,512,4,1531.1,1510.0,1.014
512,512,512,8,2590.8,2601.8,0.996
512,1024,1024,1,556.9,511.6,1.089
512,1024,1024,2,921.7,846.0,1.089
512,1024,1024,4,1656.6,1515.6,1.093
512,1024,1024,8,2848.8,2757.2,1.033
8,512,512,1,467.1,436.2,1.071
8,512,512,2,544.4,642.6,0.847
8,512,512,4,868.6,923.6,0.940
8,512,512,8,1341.6,1132.8,1.184
8,2048,2048,1,559.5,355.6,1.573
8,2048,2048,2,785.3,578.7,1.357
8,2048,2048,4,1343.1,1088.9,1.233
8,2048,2048,8,2309.2,2041.8,1.131
16,2048,2048,1,563.4,446.1,1.263
16,2048,2048,2,837.2,702.0,1.193
16,2048,2048,4,1484.9,1277.9,1.162
16,2048,2048,8,2593.8,2273.9,1.141
32,4096,4096,1,539.9,418.4,1.290
32,4096,4096,2,885.3,653.4,1.355
32,4096,4096,4,1587.9,1234.4,1.286
32,4096,4096,8,2853.6,2159.6,1.321
64,4096,1024,1,570.7,480.6,1.187
64,4096,1024,2,896.4,786.2,1.140
64,4096,1024,4,1616.6,1316.7,1.228
64,4096,1024,8,2857.1,2568.6,1.112
8,4096,4096,1,494.4,287.4,1.720
8,4096,4096,2,755.5,480.2,1.573
8,4096,4096,4,1322.1,851.1,1.553
8,4096,4096,8,2421.4,1517.6,1.596
16,4096,8192,1,426.4,338.1,1.261
16,4096,8192,2,709.4,536.6,1.322
16,4096,8192,4,1295.0,995.9,1.300
16,4096,8192,8,2246.5,1823.4,1.232
48,2048,2048,1,579.7,465.2,1.246
48,2048,2048,2,940.5,755.9,1.244
48,2048,2048,4,1676.0,1369.0,1.224
48,2048,2048,8,2943.2,2589.2,1.137
64,512,4096,1,502.0,504.1,0.996
64,512,4096,2,850.7,814.9,1.044
64,512,4096,4,1530.6,1317.9,1.161
64,512,4096,8,2756.2,2658.5,1.037
128,512,8192,1,507.4,505.4,1.004
128,512,8192,2,863.9,817.8,1.056
128,512,8192,4,1560.2,1438.9,1.084
128,512,8192,8,2876.9,2482.5,1.159
256,1024,8192,1,530.6,492.2,1.078
256,1024,8192,2,900.9,819.2,1.100
256,1024,8192,4,1624.8,1447.1,1.123
256,1024,8192,8,3094.9,2618.7,1.182
512,2048,2048,1,567.4,503.1,1.128
512,2048,2048,2,945.3,838.1,1.128
512,2048,2048,4,1695.2,1497.6,1.132
512,2048,2048,8,3087.6,2777.8,1.112
1024,2048,2048,1,565.3,502.9,1.124
1024,2048,2048,2,928.5,841.8,1.103
1024,2048,2048,4,1702.1,1510.6,1.127
1024,2048,2048,8,3019.1,2736.1,1.103
2048,2048,2048,1,568.5,499.9,1.137
2048,2048,2048,2,941.1,836.3,1.125
2048,2048,2048,4,1533.0,1512.5,1.014
2048,2048,2048,8,3072.1,2662.3,1.154
2048,4096,8192,1,569.2,498.5,1.142
2048,4096,8192,2,831.4,836.8,0.994
2048,4096,8192,4,1495.5,1503.3,0.995
2048,4096,8192,8,2722.3,2750.8,0.990
